Dataset	Effect	Trt	Estimate
95	Intercept		-0.4624
95	Trt	D	-1.9693
95	Trt	C	-1.2051
95	Trt	B	-0.9593
95	Trt	A	0
95	Scale Parameter		2.7569
96	Intercept		-0.8011
96	Trt	D	-1.5675
96	Trt	C	-0.7986
96	Trt	B	-0.4399
96	Trt	A	0
96	Scale Parameter		3.3921
97	Intercept		-0.8126
97	Trt	D	-1.5119
97	Trt	C	-0.8382
97	Trt	B	-0.04660
97	Trt	A	0
97	Scale Parameter		3.0236
98	Intercept		-0.6275
98	Trt	D	-1.8467
98	Trt	C	-0.7402
98	Trt	B	-0.3142
98	Trt	A	0
98	Scale Parameter		2.6704
99	Intercept		-0.8594
99	Trt	D	-1.5767
99	Trt	C	-0.7903
99	Trt	B	-0.4483
99	Trt	A	0
99	Scale Parameter		3.8818
100	Intercept		-0.5348
100	Trt	D	-2.0727
100	Trt	C	-1.1118
100	Trt	B	-0.2752
100	Trt	A	0
100	Scale Parameter		2.5631
101	Intercept		-0.5642
101	Trt	D	-1.5086
101	Trt	C	-1.1950
101	Trt	B	-0.6676
101	Trt	A	0
101	Scale Parameter		4.7834
102	Intercept		-1.0133
102	Trt	D	-1.4619
102	Trt	C	-0.3023
102	Trt	B	-0.02466
102	Trt	A	0
102	Scale Parameter		3.0830
103	Intercept		-0.7182
103	Trt	D	-2.3547
103	Trt	C	-1.1301
103	Trt	B	-0.3654
103	Trt	A	0
103	Scale Parameter		2.8256
104	Intercept		-0.8116
104	Trt	D	-1.4830
104	Trt	C	-0.5210
104	Trt	B	-0.3477
104	Trt	A	0
104	Scale Parameter		2.4194
105	Intercept		-0.6605
105	Trt	D	-1.5649
105	Trt	C	-0.9202
105	Trt	B	-0.7135
105	Trt	A	0
105	Scale Parameter		3.3631
106	Intercept		-0.7300
106	Trt	D	-2.5384
106	Trt	C	-0.6916
106	Trt	B	-0.4036
106	Trt	A	0
106	Scale Parameter		2.2233
107	Intercept		-0.5449
107	Trt	D	-2.3533
107	Trt	C	-0.8995
107	Trt	B	-0.8730
107	Trt	A	0
107	Scale Parameter		3.5896
108	Intercept		-0.5137
108	Trt	D	-1.9979
108	Trt	C	-1.3924
108	Trt	B	-0.6936
108	Trt	A	0
108	Scale Parameter		2.1357
109	Intercept		-0.6617
109	Trt	D	-1.5901
109	Trt	C	-0.5374
109	Trt	B	-0.5880
109	Trt	A	0
109	Scale Parameter		2.8006
110	Intercept		-0.5575
110	Trt	D	-1.5778
110	Trt	C	-0.9060
110	Trt	B	-0.9904
110	Trt	A	0
110	Scale Parameter		2.2720
111	Intercept		-0.5899
111	Trt	D	-2.2478
111	Trt	C	-1.0679
111	Trt	B	-0.4693
111	Trt	A	0
111	Scale Parameter		3.0136
112	Intercept		-0.5514
112	Trt	D	-1.9293
112	Trt	C	-0.9773
112	Trt	B	-0.7321
112	Trt	A	0
112	Scale Parameter		2.3632
113	Intercept		-0.8087
113	Trt	D	-1.3152
113	Trt	C	-0.9659
113	Trt	B	-0.6793
113	Trt	A	0
113	Scale Parameter		4.7206
114	Intercept		-0.8394
114	Trt	D	-1.4372
114	Trt	C	-1.0597
114	Trt	B	-0.3774
114	Trt	A	0
114	Scale Parameter		3.2078
115	Intercept		-0.5992
115	Trt	D	-1.5946
115	Trt	C	-1.6429
115	Trt	B	-0.6629
115	Trt	A	0
115	Scale Parameter		2.8259
116	Intercept		-0.5252
116	Trt	D	-1.8040
116	Trt	C	-0.9547
116	Trt	B	-0.6873
116	Trt	A	0
116	Scale Parameter		3.1414
117	Intercept		-0.9362
117	Trt	D	-1.1813
117	Trt	C	-0.8011
117	Trt	B	-0.1627
117	Trt	A	0
117	Scale Parameter		3.1734
118	Intercept		-1.0478
118	Trt	D	-1.4628
118	Trt	C	-0.4935
118	Trt	B	-0.4775
118	Trt	A	0
118	Scale Parameter		3.4021
119	Intercept		-0.4643
119	Trt	D	-1.9691
119	Trt	C	-0.9159
119	Trt	B	-1.1864
119	Trt	A	0
119	Scale Parameter		2.4474
120	Intercept		-0.9140
120	Trt	D	-1.6502
120	Trt	C	-0.6793
120	Trt	B	-0.3959
120	Trt	A	0
120	Scale Parameter		2.1309
121	Intercept		-0.5976
121	Trt	D	-1.8278
121	Trt	C	-0.6699
121	Trt	B	-0.5968
121	Trt	A	0
121	Scale Parameter		2.5414
122	Intercept		-0.5187
122	Trt	D	-2.0396
122	Trt	C	-0.8329
122	Trt	B	-0.8642
122	Trt	A	0
122	Scale Parameter		1.8410
123	Intercept		-0.7521
123	Trt	D	-1.7277
123	Trt	C	-0.7262
123	Trt	B	-0.3919
123	Trt	A	0
123	Scale Parameter		3.6262
124	Intercept		-0.4166
124	Trt	D	-2.0659
124	Trt	C	-1.0793
124	Trt	B	-0.7700
124	Trt	A	0
124	Scale Parameter		4.6281
125	Intercept		-0.4781
125	Trt	D	-1.7614
125	Trt	C	-1.4868
125	Trt	B	-0.6704
125	Trt	A	0
125	Scale Parameter		3.8130
126	Intercept		-0.4156
126	Trt	D	-1.8913
126	Trt	C	-1.3649
126	Trt	B	-0.6664
126	Trt	A	0
126	Scale Parameter		4.5933
127	Intercept		-0.5054
127	Trt	D	-1.9644
127	Trt	C	-1.1838
127	Trt	B	-0.5720
127	Trt	A	0
127	Scale Parameter		3.5469
128	Intercept		-1.0307
128	Trt	D	-1.3761
128	Trt	C	-0.6049
128	Trt	B	-0.08524
128	Trt	A	0
128	Scale Parameter		4.9353
